utc_time,perth_time,lot,zone,utilization
2026-07-31T16:55:09Z,2026-08-01 00:55:09,TCP1, ,0
2026-07-31T16:55:09Z,2026-08-01 00:55:09,TCP2, ,0
2026-07-31T16:55:09Z,2026-08-01 00:55:09,PA1,BEN-PA1-LZ-Green,27.41
2026-07-31T16:55:09Z,2026-08-01 00:55:09,PA2,BEN-PA2-LZ-Green,1.83
2026-07-31T16:55:09Z,2026-08-01 00:55:09,PA3,BEN-PA3-LZ-Green,0.62
2026-07-31T16:55:09Z,2026-08-01 00:55:09,PA4,BEN-PA4-LT-0001,0
2026-07-31T16:55:09Z,2026-08-01 00:55:09,PA5,BEN-PA5-LZ-Green,9.38
2026-07-31T16:55:09Z,2026-08-01 00:55:09,PB1,BEN-PB1-LZ-Green,12.61
2026-07-31T16:55:09Z,2026-08-01 00:55:09,PB3,BEN-PB3-LZ-90Minute,62.35
2026-07-31T16:55:09Z,2026-08-01 00:55:09,PC2,BEN-PC2-LZ-Green,0.71
2026-07-31T16:55:09Z,2026-08-01 00:55:09,PC3,BEN-PC3-LZ-Green,0
2026-07-31T16:55:09Z,2026-08-01 00:55:09,STAFF ONLY - PC3,BEN-PC3-LZ-White,0
2026-07-31T16:55:09Z,2026-08-01 00:55:09,PC4,BEN-PC4-LZ-Equipark,0
2026-07-31T16:55:09Z,2026-08-01 00:55:09,PD1,BEN-PD1-LZ-Yellow,0.66
2026-07-31T16:55:09Z,2026-08-01 00:55:09,PD4,BEN-PD4-LZ-Blue,5.56
2026-07-31T16:55:09Z,2026-08-01 00:55:09,PE1,BEN-PE1-LZ-Yellow,8.71
2026-07-31T16:55:09Z,2026-08-01 00:55:09,PE2,BEN-PE2-LZ-Blue,31.88
2026-07-31T16:55:09Z,2026-08-01 00:55:09,PF1,BEN-PF1-LZ-Yellow,0
2026-07-31T16:55:09Z,2026-08-01 00:55:09,PH1,BEN-PH1-LZ-Yellow,0.96
2026-07-31T16:55:09Z,2026-08-01 00:55:09,PH2,BEN-PH2-LZ-Green,34
2026-07-31T16:55:09Z,2026-08-01 00:55:09,PH3,BEN-PH3-LZ-Equipark,0
2026-07-31T16:55:09Z,2026-08-01 00:55:09,PH4,BEN-PH4-LZ-Green,0
